Wall time,Step,Value
1676435006.126406,723,-359.7146301269531
1676435096.961974,724,-357.654296875
1676435186.300534,725,-371.6824035644531
1676435275.244847,726,-400.3656921386719
1676435547.13438,729,-379.9834289550781
1676435636.443961,730,-379.62469482421875
1676435728.096188,731,-374.6834716796875
1676436089.390537,735,-369.12530517578125
1676436181.028497,736,-372.73699951171875
1676436359.788953,738,-390.97802734375
1676436451.654772,739,-408.1092529296875
1676436542.869744,740,-399.8093566894531
1676436631.90739,741,-381.496826171875
1676436721.895567,742,-382.1791076660156
1676436814.160879,743,-404.64202880859375
1676436995.081125,745,-398.13629150390625
1676437084.555439,746,-426.6242980957031
1676437174.95031,747,-391.1102600097656
1676437354.861839,749,-405.8457946777344
1676437444.009041,750,-450.8616943359375
1676437535.920378,751,-393.2733154296875
1676437626.787906,752,-472.2442626953125
1676437716.641001,753,-454.794677734375
1676437805.819758,754,-398.11639404296875
1676437897.955452,755,-370.0746765136719
1676437989.1308,756,-326.3378601074219
1676438259.75048,759,-310.4927978515625
1676438351.066379,760,-305.9676818847656
1676438531.066596,762,-305.05975341796875
1676438623.032761,763,-300.72314453125
1676438714.521213,764,-293.4642333984375
1676438803.485102,765,-300.79486083984375
1676438893.460034,766,-279.89154052734375
1676438984.530882,767,-281.51629638671875
1676439163.94671,769,-276.9597473144531
1676439253.86152,770,-279.88861083984375
1676439345.394838,771,-282.42706298828125
1676439436.470316,772,-275.17529296875
1676439525.768266,773,-275.70953369140625
1676439616.082877,774,-274.05712890625
1676439707.723641,775,-276.7322692871094
1676439798.707635,776,-267.5070495605469
1676440070.283245,779,-279.2080383300781
1676440161.175781,780,-274.6457824707031
1676440340.659982,782,-277.14794921875
1676440432.881845,783,-273.845947265625
1676440524.054279,784,-294.48577880859375
1676440613.182526,785,-315.6476745605469
1676440795.694452,787,-295.7841796875
1676440975.438883,789,-281.7996520996094
1676441065.553019,790,-277.5931701660156
1676441156.453447,791,-270.6112976074219
1676441247.201197,792,-275.4718017578125
1676441336.31061,793,-281.973388671875
1676441426.578638,794,-272.0408020019531
1676441517.519454,795,-276.3342590332031
1676441608.418377,796,-278.930419921875
1676441789.10089,798,-284.5889587402344
1676441880.341814,799,-287.46630859375
1676441971.544168,800,-297.849853515625
1676442152.03158,802,-310.0811462402344
1676442334.12833,804,-333.1510925292969
1676442423.254664,805,-356.6597900390625
1676442513.972279,806,-355.4267272949219
1676442604.980294,807,-391.226806640625
1676442695.693471,808,-431.85638427734375
1676442785.376005,809,-337.7153625488281
1676442966.23283,811,-415.82977294921875
1676443057.237711,812,-429.7459411621094
1676443146.631441,813,-480.5692138671875
1676443329.772161,815,-516.4667358398438
1676443420.425026,816,-432.0868835449219
1676443600.458941,818,-467.1850891113281
1676443872.614908,821,-402.6707458496094
1676444055.120899,823,-335.586181640625
1676444146.103399,824,-324.2255554199219
1676444235.740516,825,-291.44287109375
1676444509.011354,828,-295.4363098144531
1676444598.020028,829,-289.5235900878906
1676444781.216882,831,-294.9514465332031
1676444871.772726,832,-296.8170471191406
1676445055.714064,834,-299.2103576660156
1676445147.411396,835,-297.9969787597656
1676445237.603219,836,-294.069091796875
1676445418.023412,838,-297.21954345703125
1676445508.909298,839,-298.5523986816406
1676445779.861614,842,-298.0418395996094
1676445870.530193,843,-293.524658203125
1676446049.622309,845,-294.3282775878906
1676446141.916383,846,-293.4361877441406
1676446234.278605,847,-288.1957702636719
1676446327.612787,848,-292.40228271484375
1676446508.327342,850,-291.83544921875
1676446599.422817,851,-289.8253479003906
1676446689.770098,852,-289.68939208984375
1676446778.750344,853,-287.0458068847656
1676446961.192577,855,-287.6852722167969
1676447141.006187,857,-293.0704345703125
1676447325.27597,859,-290.95782470703125
1676447415.561401,860,-291.3800354003906
1676447505.126084,861,-289.2638854980469
1676447597.879523,862,-292.0205993652344
1676447687.99475,863,-290.3533020019531
1676448050.360822,867,-296.58148193359375
1676448140.41222,868,-294.9239807128906
1676448229.662915,869,-292.97088623046875
1676448321.433714,870,-292.62664794921875
1676448412.88225,871,-292.5367126464844
1676448593.387811,873,-300.3109436035156
1676448685.518102,874,-303.7948303222656
1676448776.769998,875,-297.9053955078125
1676448866.972956,876,-304.533203125
1676448956.979453,877,-297.5840759277344
1676449048.861253,878,-304.00946044921875
1676449140.461724,879,-303.96051025390625
1676449230.510936,880,-305.72613525390625
1676449320.044332,881,-306.6962890625
1676449412.664121,882,-312.6777648925781
1676449594.356923,884,-309.5026550292969
1676449685.22905,885,-312.2781677246094
1676449778.027882,886,-311.2642822265625
1676449869.743654,887,-313.7034606933594
1676449959.887418,888,-305.6813659667969
1676450050.586123,889,-307.71453857421875
1676450142.949066,890,-314.1465148925781
1676450323.914935,892,-319.26031494140625
1676450414.734641,893,-322.4390869140625
1676450506.644412,894,-319.5992736816406
1676450597.937721,895,-323.67120361328125
1676450687.795781,896,-322.4376525878906
1676450778.892417,897,-319.7864685058594
1676450962.098328,899,-330.8839111328125
1676451051.95557,900,-334.5498046875
1676451416.641355,904,-330.4103088378906
1676451508.393445,905,-335.6802062988281
1676451691.218936,907,-325.2497863769531
1676451780.945225,908,-323.1943664550781
1676451871.207632,909,-321.6968994140625
1676451963.365719,910,-327.7818298339844
1676452054.157687,911,-320.57830810546875
1676452143.807639,912,-316.2637939453125
1676452234.980435,913,-320.8876647949219
1676452417.318201,915,-326.83441162109375
1676452507.078848,916,-319.4515075683594
1676452598.545985,917,-315.8402099609375
1676452689.817145,918,-312.09564208984375
1676452870.616806,920,-313.4662170410156
1676452962.184402,921,-309.1605224609375
1676453054.836706,922,-309.1100158691406
1676453146.53909,923,-395.7947998046875
1676453237.116233,924,-431.4933166503906
1676453328.626821,925,-401.1221923828125
1676453784.506488,930,-368.40423583984375
1676453875.468407,931,-368.2984619140625
1676453965.561474,932,-365.5162658691406
1676454057.739249,933,-361.6012268066406
1676454150.443527,934,-356.0810852050781
1676454241.01744,935,-353.4326171875
1676454422.121256,937,-348.02734375
1676454604.139515,939,-343.5443420410156
1676454876.897671,942,-335.0842590332031
1676454966.94248,943,-334.7204895019531
1676455055.359334,944,-334.7349853515625
1676455146.744256,945,-335.2630310058594
1676455415.814119,948,-332.2716369628906
1676455507.707495,949,-333.55743408203125
1676455688.262309,951,-337.0924987792969
1676455776.85891,952,-344.7788391113281
1676455870.731216,953,-351.6514892578125
1676455967.534945,954,-345.2914733886719
1676456159.272912,956,-341.0332336425781
1676456257.635428,957,-337.1597900390625
1676456355.773502,958,-331.95733642578125
1676456452.963495,959,-331.9110412597656
1676456550.010626,960,-330.8232421875
1676456648.384293,961,-331.89202880859375
1676456746.434139,962,-325.2018127441406
1676456843.826719,963,-331.9361877441406
1676456942.009872,964,-322.5
1676457137.732098,966,-329.5092468261719
1676457234.841662,967,-320.7226867675781
1676457430.558108,969,-333.91717529296875
1676457626.059803,971,-338.9825439453125
1676457725.182481,972,-334.8396301269531
1676457920.615761,974,-336.7290344238281
1676458117.088826,976,-336.461181640625
1676458214.942505,977,-342.7603454589844
1676458312.084355,978,-346.9481506347656
1676458410.004671,979,-352.31103515625
1676458702.796854,982,-391.8807678222656
1676458801.053281,983,-435.560546875
1676458899.317712,984,-499.7014465332031
1676458996.432073,985,-450.23736572265625
1676459191.687969,987,-426.39501953125
1676459289.710553,988,-423.0865783691406
1676459386.931382,989,-411.6292724609375
1676459484.940356,990,-425.33331298828125
1676459583.390258,991,-412.7326354980469
1676459876.67295,994,-395.0791320800781
1676460072.137303,996,-391.76031494140625
1676460169.741828,997,-396.88836669921875
1676460365.632998,999,-395.37152099609375
1676460462.463859,1000,-393.638671875
1676460658.886608,1002,-393.4681091308594
1676460756.695007,1003,-386.8415832519531
1676460854.655656,1004,-387.84130859375
1676460953.049158,1005,-385.79736328125
1676461150.16087,1007,-377.96875
1676461248.769031,1008,-379.13055419921875
1676461347.046915,1009,-374.6308288574219
1676461543.005586,1011,-366.9188232421875
1676461642.391799,1012,-368.60565185546875
1676461741.107891,1013,-375.1673889160156
1676461838.823649,1014,-377.0823974609375
1676462036.728706,1016,-384.27020263671875
1676462136.327469,1017,-386.87994384765625
1676462334.974922,1019,-388.8529052734375
1676462631.945098,1022,-416.8634033203125
1676462829.38373,1024,-489.3775634765625
1676462928.037749,1025,-443.7421875
1676463026.673339,1026,-475.9283752441406
1676463124.951412,1027,-427.71514892578125
1676463311.330713,1029,-432.0184631347656
1676463497.614401,1031,-422.5024108886719
1676463590.733439,1032,-412.87457275390625
1676463683.1831,1033,-430.72869873046875
1676463776.505814,1034,-426.361572265625
1676463869.822574,1035,-429.4310302734375
1676463962.860881,1036,-438.19451904296875
1676464055.015395,1037,-449.4361572265625
1676464148.209628,1038,-419.90020751953125
1676464242.510714,1039,-415.7084655761719
1676464535.05975,1042,-392.65863037109375
1676464634.369074,1043,-383.7375183105469
1676464732.201921,1044,-379.5690002441406
1676465127.909217,1048,-393.9027099609375
1676465228.3927,1049,-402.0238037109375
1676465327.416275,1050,-401.36810302734375
1676465427.511988,1051,-408.3497619628906
1676465524.668709,1052,-392.9029541015625
1676465723.132942,1054,-403.6666259765625
1676465821.9458,1055,-409.500244140625
1676465920.406474,1056,-409.3464050292969
1676466019.662408,1057,-495.8365783691406
1676466117.604741,1058,-423.75811767578125
1676466610.89046,1063,-442.71319580078125
1676466709.200577,1064,-434.1899108886719
1676466807.31619,1065,-432.4397277832031
1676466906.1084,1066,-397.0071105957031
1676467006.91967,1067,-415.25970458984375
1676467105.746283,1068,-409.57354736328125
1676467302.004887,1070,-391.8556823730469
1676467401.829664,1071,-405.7991943359375
1676467501.199857,1072,-408.97894287109375
1676467599.77602,1073,-406.4424743652344
1676467693.097186,1074,-420.46630859375
1676467784.696789,1075,-395.60968017578125
1676467876.72,1076,-391.7702941894531
1676467967.75418,1077,-411.1652526855469
1676468058.922778,1078,-404.8954772949219
1676468241.698778,1080,-402.2995300292969
1676468332.761775,1081,-397.6067810058594
1676468424.049718,1082,-408.0954895019531
1676468516.146307,1083,-408.2598571777344
1676468608.007782,1084,-402.60467529296875
1676468698.879231,1085,-399.3960876464844
1676468795.476128,1086,-402.0027770996094
1676469012.731917,1088,-414.2004089355469
1676469219.501668,1090,-432.5781555175781
1676469325.914343,1091,-450.3303527832031
1676469430.79095,1092,-456.27325439453125
1676469534.076167,1093,-440.4155578613281
1676469638.959049,1094,-430.5086364746094
1676469848.730659,1096,-447.4127502441406
1676470058.426451,1098,-581.7964477539062
1676470162.890703,1099,-573.2659301757812
1676470371.856484,1101,-451.7415466308594
1676470581.769755,1103,-434.97235107421875
1676470686.164753,1104,-427.47412109375
1676470793.102914,1105,-416.3179626464844
1676471000.888696,1107,-428.68597412109375
1676471316.674466,1110,-409.36260986328125
1676471426.185522,1111,-21399.28125
1676471759.562888,1114,-375.7044982910156
1676471871.333595,1115,-374.4553527832031
1676471981.577471,1116,-377.4769287109375
1676472312.132251,1119,-365.6605529785156
1676472414.556588,1120,-369.75909423828125
1676472624.207616,1122,-362.5455627441406
1676472727.030936,1123,-360.3596496582031
1676472829.964679,1124,-358.28802490234375
1676472935.156989,1125,-352.8993225097656
1676473040.098803,1126,-354.9788513183594
1676473142.894326,1127,-358.9967956542969
1676473247.362379,1128,-351.0850830078125
1676473353.078778,1129,-359.226318359375
1676473457.128344,1130,-351.6379699707031
1676473560.471775,1131,-359.72467041015625
1676473769.79699,1133,-361.2157287597656
1676473872.493867,1134,-351.53631591796875
1676473977.268885,1135,-355.58074951171875
1676474289.32499,1138,-343.4076843261719
1676474395.112574,1139,-342.3502502441406
1676474499.114123,1140,-341.2151184082031
1676474601.850715,1141,-333.75787353515625
1676474706.757576,1142,-341.09259033203125
1676474811.548647,1143,-349.5176696777344
1676474914.494099,1144,-357.6058044433594
1676475124.404088,1146,-357.5316467285156
1676475227.946807,1147,-360.01171875
1676475436.106034,1149,-363.9425354003906
1676475541.152607,1150,-370.032470703125
1676475643.534146,1151,-379.0368347167969
1676475747.609841,1152,-362.01739501953125
1676475852.683213,1153,-372.6927795410156
1676475956.477136,1154,-363.6395263671875
1676476059.209752,1155,-351.5486145019531
1676476163.837236,1156,-345.9161376953125
1676476267.662138,1157,-335.2602233886719
1676476369.806507,1158,-344.75579833984375
1676476474.491475,1159,-348.15130615234375
1676476580.250132,1160,-347.6186218261719
1676476682.886886,1161,-347.97503662109375
1676476785.143109,1162,-338.4195861816406
1676476993.816986,1164,-331.4810791015625
1676477096.211043,1165,-350.00885009765625
1676477199.907366,1166,-351.71563720703125
1676477304.934824,1167,-362.3237609863281
1676477509.324275,1169,-375.4238586425781
1676477614.658603,1170,-389.6378173828125
1676478035.344011,1174,-520.5769653320312
1676478348.391064,1177,-499.19390869140625
1676478555.748957,1179,-540.7947387695312
1676478660.264587,1180,-574.1519775390625
1676478764.713256,1181,-572.1009521484375
1676478869.058703,1182,-502.34527587890625
1676478972.374217,1183,-517.7367553710938
1676479181.080387,1185,-512.5774536132812
1676479283.905144,1186,-566.4165649414062
1676479387.802732,1187,-544.6282958984375
1676479491.72363,1188,-554.4681396484375
1676479593.798374,1189,-530.27197265625
1676479801.321143,1191,-451.556640625
1676479904.360229,1192,-470.6585693359375
1676480007.026324,1193,-430.51702880859375
1676480111.680003,1194,-417.6517639160156
1676480216.100839,1195,-414.3568420410156
1676480320.445009,1196,-410.0478515625
1676480422.839002,1197,-400.32012939453125
1676480528.522015,1198,-390.9253845214844
1676480632.456959,1199,-386.63555908203125
1676480735.198828,1200,-385.8795166015625
1676480839.733627,1201,-384.69384765625
1676481046.755063,1203,-386.8450012207031
1676481150.155569,1204,-397.9894714355469
1676481359.135129,1206,-395.5736083984375
1676481462.199041,1207,-410.7111511230469
1676481566.900786,1208,-399.5699768066406
1676481775.028667,1210,-425.45452880859375
1676481877.827713,1211,-436.94720458984375
1676481983.168701,1212,-434.1898498535156
1676482086.458638,1213,-434.2635803222656
1676482189.45379,1214,-432.8736267089844
1676482293.946277,1215,-513.7325439453125
1676482709.788731,1219,-683.8095092773438
1676482915.933227,1221,-582.23681640625
1676483228.659158,1224,-577.0455932617188
1676483332.646064,1225,-578.3485717773438
1676483437.265472,1226,-562.7061767578125
1676483540.663277,1227,-636.3910522460938
1676483644.441009,1228,-633.789794921875
1676483749.619214,1229,-565.5086669921875
1676483957.430088,1231,-464.83843994140625
1676484062.382537,1232,-436.9267883300781
1676484167.713621,1233,-411.75225830078125
1676484270.780528,1234,-409.9125671386719
1676484375.217015,1235,-406.3285217285156
1676484480.226733,1236,-412.0130615234375
1676484583.763913,1237,-412.3039245605469
1676484685.701123,1238,-411.75225830078125
1676484790.42819,1239,-413.9128723144531
1676484895.143353,1240,-424.47503662109375
1676485101.006125,1242,-448.1581726074219
1676485207.09463,1243,-432.69354248046875
1676485310.719733,1244,-444.7794189453125
1676485519.471517,1246,-474.0808410644531
1676485624.248331,1247,-543.6719360351562
1676485727.384107,1248,-484.70880126953125
1676485831.266166,1249,-547.1563110351562
1676485936.187602,1250,-620.6047973632812
1676486039.473137,1251,-608.1237182617188
1676486246.556591,1253,-653.5526123046875
1676486351.363509,1254,-612.2190551757812
1676486453.877746,1255,-647.1568603515625
1676486557.301915,1256,-627.1651000976562
1676486662.634417,1257,-653.4100952148438
1676486765.27664,1258,-601.4773559570312
1676486868.908713,1259,-583.4581909179688
1676487077.771696,1261,-638.2930297851562
1676487180.749094,1262,-735.5267944335938
1676487285.774776,1263,-652.8875122070312
1676487391.155131,1264,-621.8869018554688
1676487494.492648,1265,-539.232421875
1676487598.443872,1266,-546.6132202148438
1676487702.983621,1267,-524.659912109375
1676487806.759341,1268,-522.3231811523438
1676487909.592306,1269,-476.8888244628906
1676488119.33092,1271,-494.4564208984375
1676488222.478671,1272,-524.733154296875
1676488431.267478,1274,-612.7915649414062
1676488742.917209,1277,-759.6527709960938
1676488847.895406,1278,-911.1143188476562
1676488951.334321,1279,-717.643798828125
1676489161.059549,1281,-917.9274291992188
1676489264.927595,1282,-943.7138671875
1676489368.266126,1283,-638.7471923828125
1676489577.851531,1285,-682.3082275390625
1676489784.810822,1287,-712.1361694335938
1676489891.032378,1288,-801.8222045898438
1676489995.065164,1289,-847.7651977539062
1676490203.618007,1291,-845.7781372070312
1676490308.835069,1292,-773.9718627929688
1676490412.268332,1293,-885.2302856445312
1676490517.104192,1294,-900.0582885742188
1676490727.156663,1296,-795.924072265625
1676490830.424025,1297,-671.8621826171875
1676490935.848638,1298,-613.614013671875
1676491040.092518,1299,-561.00732421875
1676491143.488542,1300,-533.7623291015625
1676491352.308953,1302,-474.37042236328125
1676491456.027638,1303,-477.98040771484375
1676491559.483663,1304,-467.6123352050781
1676491769.615829,1306,-461.5714416503906
1676491872.77412,1307,-434.8154602050781
1676492184.632567,1310,-403.2039489746094
1676492287.74552,1311,-401.67303466796875
1676492392.825027,1312,-397.0060119628906
1676492497.139075,1313,-400.633544921875
1676492705.418252,1315,-391.63824462890625
1676492810.936811,1316,-408.32415771484375
1676492914.73245,1317,-415.2831115722656
1676493018.287495,1318,-400.89208984375
1676493124.136325,1319,-392.3489990234375
1676493227.860593,1320,-397.4775085449219
1676493331.421469,1321,-373.0489807128906
1676493436.769232,1322,-378.6988220214844
1676493644.557127,1324,-330.6163024902344
1676493747.273799,1325,-325.3778991699219
1676493852.138463,1326,-321.4299621582031
1676493956.188387,1327,-293.8916320800781
1676494059.30117,1328,-288.32684326171875
1676494164.24295,1329,-268.4061279296875
1676494268.819505,1330,-272.80224609375
1676494474.896065,1332,-266.4546203613281
1676494579.657001,1333,-256.52691650390625
1676494682.693538,1334,-252.7636260986328
1676494785.004714,1335,-252.7446746826172
1676494889.566579,1336,-264.9491271972656
1676494992.892051,1337,-324.35638427734375
1676495302.001883,1340,-600.9125366210938
1676495508.443379,1342,-558.4354858398438
1676495612.653164,1343,-484.400390625
1676495710.698973,1344,-567.863525390625
1676495811.642102,1345,-531.706298828125
1676495916.335977,1346,-439.21820068359375
1676496020.021564,1347,-402.50408935546875
1676496119.516215,1348,-366.486328125
1676496222.683789,1349,-367.66253662109375
1676496327.484009,1350,-340.74652099609375
1676496430.285689,1351,-335.9409484863281
1676496741.719389,1354,-319.0306396484375
1676496844.615622,1355,-322.5730285644531
1676497156.492895,1358,-311.2671813964844
1676497259.735739,1359,-316.8106689453125
1676497363.591752,1360,-311.0896911621094
1676497467.287138,1361,-312.8547668457031
1676497569.601243,1362,-309.4028625488281
1676497672.480303,1363,-305.06695556640625
1676497881.745775,1365,-322.3282165527344
1676497985.73215,1366,-318.3087158203125
1676498089.348982,1367,-325.0362854003906
1676498193.681713,1368,-324.7669982910156
1676498295.658068,1369,-333.3879699707031
1676498398.822514,1370,-344.25750732421875
